店名,评论,口味,环境,服务,总分数
 海底捞火锅(成都大悦城店) ,4966,8.6,8.7,8.9,7.6000000000000005
 重庆矮板凳老火锅(航空港店) ,19223,8.3,8.2,8.2,7.6
 inns·隐是 餐吧 ,5166,8.5,8.9,8.9,7.6
 太食獸泰式茶餐厅(万象城店) ,11898,8.2,8.3,8.2,7.6
 大院河·仙鱼莊(九眼桥店) ,6300,8.6,8.6,8.3,7.550000000000001
 鳗满·活烤鳗鱼专门店(成都桐梓林店) ,6611,8.4,8.3,8.6,7.55
 巴蜀大将火锅(IFS店) ,6300,8.4,8.4,8.4,7.55
 拾谷西餐(天府三街店) ,4060,8.6,9.1,9.0,7.5
 全福居老北京涮羊肉(华阳店) ,10232,8.3,8.1,8.2,7.45
 BURANO布拉诺西餐(环球中心店) ,4830,8.5,8.8,8.7,7.45
 吃城都·鱼蛙火锅(西玉龙街店) ,5374,8.9,8.6,8.7,7.45
 隐家炭火烧鸟(太古里店) ,6110,8.3,8.3,8.6,7.400000000000001
 小龙坎火锅(盐市口店) ,6304,8.4,8.5,8.3,7.4
 大彤集老火锅 ,7001,8.4,8.4,8.3,7.4
 悦百味·品质川菜(UPARK公园店) ,4376,8.9,9.0,8.8,7.3500000000000005
 老码头火锅(春熙店) ,9104,8.2,8.3,8.3,7.35
 龙森园火锅(琴台路店) ,9168,8.2,8.3,8.3,7.35
 鸡毛店·川菜(双楠店) ,4581,8.7,8.5,8.6,7.300000000000001
 孔干饭(红星路店) ,5122,8.6,8.4,8.6,7.300000000000001
 竹涟烧肉(光环店) ,5026,8.8,8.6,8.4,7.3
 凛火烧鸟酒场(高新店) ,4649,8.3,8.7,8.9,7.3
 柴门饭儿(成都太古里店) ,14293,8.1,8.3,8.1,7.3
 集渔·泰式海鲜火锅(建设店) ,10456,8.2,8.2,8.2,7.299999999999999
 凉山好汉自助西昌烧烤(太古里店) ,12023,8.2,8.2,8.2,7.299999999999999
 岷山饭店·THE RIVER HOUSE西餐厅 ,3371,9.0,9.1,9.2,7.25
 锦城印象火锅(高新天府三街店) ,3077,9.0,9.1,9.0,7.25
 海底捞火锅(凯德天府店) ,3057,9.0,9.0,9.0,7.25
 蜀香麻麻鱼·芋儿鸡(都江堰店) ,5648,8.7,8.2,8.4,7.25
 酒本日式烧肉专门店(静安路店) ,4459,8.9,8.8,8.8,7.2
 麻辣空间·清油火锅(万科魅力店) ,4175,8.8,8.7,8.9,7.2
 锦城印象火锅(高新德商国际店) ,4511,8.9,8.9,8.7,7.2
 Tivano意大利餐厅(笔帖式街店) ,3765,8.3,9.1,9.0,7.2
 樂猪烤肉(成都合生汇店) ,4752,8.4,8.5,8.6,7.15
 猫抓烤肉(凯德广场店) ,4588,8.5,8.6,8.6,7.15
 成都吃客(奎星楼店) ,17025,8.3,7.8,8.2,7.15
 张烤鸭·川菜·非遗冒烤鸭(青石桥店) ,10824,8.2,8.1,8.2,7.1499999999999995
 霸王虾·小龙虾江湖川菜(太古里店) ,6776,8.3,8.3,8.3,7.100000000000001
 鮨秀吉日式料理(新都店) ,5760,8.3,8.3,8.3,7.100000000000001
 海底捞火锅(王府井店) ,3173,8.8,9.0,9.0,7.1
 味之绝美蛙鱼火锅(耍都店) ,3201,9.1,8.9,9.1,7.1
 许家菜(望江店) ,3528,8.9,9.0,9.0,7.1
 竹涟烧肉(西宸天街店) ,3828,9.0,8.6,8.8,7.050000000000001
 不站·花胶鸡(攀成钢店) ,4065,8.7,8.8,8.6,7.05
 唐宫·粤菜海鲜(高新仁和新城店) ,7538,8.1,8.4,8.2,7.05
 首尔朴宝·炭火烤肉(金沙店) ,4323,8.7,8.5,9.0,7.05
 钦善斋·养生膳食(武侯祠店) ,9260,8.2,8.3,8.2,7.049999999999999
 唐宫·粤菜海鲜(人民南路店) ,8234,8.2,8.3,8.2,7.049999999999999
 丁海记粤式大排档(春熙店) ,7988,8.3,8.2,8.2,7.049999999999999
 孔干饭(清江东路店) ,4756,8.4,8.3,8.6,7.000000000000001
 三国义府火锅(武侯祠总店) ,5457,8.4,8.6,8.4,7.0
 大龙燚火锅(花牌坊店) ,4780,8.5,8.6,8.5,7.0
 蜀大侠火锅(动物园概念店) ,5312,8.5,8.6,8.4,7.0
 姜虎东白丁烤肉(ifs国际金融店) ,12094,8.1,8.2,8.1,7.0
 嘉州叶婆婆钵钵鸡(太古里店) ,24696,8.1,8.2,8.1,7.0
 比萨先生PIZZAMAN ,5377,8.3,8.4,8.6,7.0
 味之绝美蛙鱼火锅(华阳二店) ,12303,8.2,8.0,8.1,7.0
 园里火锅(天府三街店) ,6965,8.0,9.0,8.3,6.950000000000001
 饭团匠·料理小食堂(总店) ,2985,9.0,8.7,9.0,6.95
 翠园(成都太古里店) ,7059,8.2,8.5,8.3,6.949999999999999
 廊桥THE BRIDGE ,4078,8.3,9.0,8.8,6.9
 小龙坎火锅(新中兴店) ,4300,8.6,8.8,8.5,6.8999999999999995
 石灰石烧鸡公(太古里店) ,7888,8.3,8.0,8.2,6.8999999999999995
 永乐饭店 ,8778,8.3,8.0,8.2,6.8999999999999995
 岐余食堂(总店) ,5139,8.4,8.3,8.4,6.8500000000000005
 都氏二当家(翡翠城店) ,5447,8.2,9.0,8.3,6.85
 滨寿司(春熙路店) ,6632,8.3,8.3,8.2,6.800000000000001
 渝九香(武侯祠店) ,6739,8.4,8.1,8.3,6.800000000000001
 甜叔叔西餐厅 ,7167,8.1,8.3,8.1,6.750000000000001
 成都瑞吉酒店·秀餐厅 ,4183,8.2,8.8,9.0,6.75
 柳飘飘亚洲烤肉集合店(温江店) ,7695,8.2,8.2,8.2,6.749999999999999
 ZHAO赵·牛扒坊(万科天荟店) ,2479,9.1,9.2,9.2,6.7
 蜀镇老火锅(龙腾店) ,2404,9.1,9.1,9.1,6.7
 BURANO布拉诺西餐(滨江天街店) ,2722,9.1,9.1,9.1,6.7
 御苑精品川菜馆(锦江店) ,2457,9.1,9.0,9.1,6.7
 莲·中餐厅(成都首座万豪酒店) ,2401,9.1,9.2,9.2,6.7
 山海烧肉(铁像寺路店) ,2732,9.1,9.1,9.1,6.7
 蜀镇老火锅(龙腾店) ,2404,9.1,9.1,9.1,6.7
 成都宴(桐梓林店) ,2981,8.4,9.0,8.9,6.6499999999999995
 享月·汤皇(橡树林店) ,3864,8.4,8.7,8.5,6.6000000000000005
 袁老四老火锅(东大街店) ,9510,8.1,8.3,8.0,6.6000000000000005
 老龙亭拉面店 ,4258,8.8,8.1,9.0,6.6000000000000005
 萨芭蒂高空花园餐酒吧 ,4041,8.3,8.8,8.4,6.6
 大院河·仙鱼莊(羊犀店) ,3962,8.5,8.8,8.3,6.6
 南山木槿韩国料理·烤肉(芳草街店) ,4215,8.3,8.3,9.0,6.6
 凉山好汉自助西昌烧烤(高新店) ,9010,8.3,7.9,8.1,6.6
 皇城老妈(皇城店) ,8216,7.9,8.3,8.2,6.6
 汉巴味德(大悦城店) ,9404,8.1,8.2,8.2,6.6
 园里火锅(东郊记忆店) ,4547,8.3,9.1,8.3,6.6
 不二·民谣音乐餐酒吧(九眼桥店) ,4369,8.4,8.8,8.3,6.6
 天星正源火锅(地勘路店) ,8409,8.3,8.0,8.0,6.6
 匠岳·王宝器麻椒鱼(全国总店) ,4876,8.7,8.3,8.2,6.550000000000001
 obibi蜀色茶颜(奎星楼店) ,5142,8.3,8.3,8.3,6.550000000000001
 兰正韩·韩国料理(春熙路店) ,9630,8.0,8.1,8.1,6.550000000000001
 龙山烧肉(万象城店) ,9989,8.1,8.1,7.9,6.550000000000001
 蓉和妈妈菜·芙蓉花开(高新店) ,5187,8.3,8.3,8.3,6.550000000000001
